ID;pName
1415;Otto K. Ferstl
1416;Elmar J. Sinz
1419;Christian Fischer
1421;Robert Winter
1422;Felix Wortmann
1438;Gene Kan
1443;C. Genillard
1445;A. Strohmeier
1449;Mario Zuehlke
1450;Hartmut König
1462;Yong Xue
1463;Xiangyu Sheng
1465;Narayana Jayaram
1470;Isaac Levi
1475;Anna Wu
1476;Xiaolong Zhang
1477;Wei Zhang
1481;Martin Saternus
1482;Torben Weis
1483;Sebastian Holzapfel
1484;Arno Wacker
1488;Kathy Ryall
1492;Scott Saobing Chen
1493;Ramesh A. Gopinath
1497;G.W. McLean
1501;Tom Minka
1502;John M. Winn
1505;Gio Wiederhold
1510;J. Paredaens
1515;T. DeWitt
1519;Janet M. Baker
1520;James K. Baker
1524;Steve Vestal
1527;Ruben Viegas
1529;Francisco Azevedo
1533;Nickson Fong Wei Ming
1535;Anna M. Chupa
1538;Drouin Sebastian
1540;Mutin Christophe
1541;Dumont Olivier
1543;Chris Olston
1545;Allison Woodruff
1546;Alexander Aiken
1547;Michael Chu
1548;Vuk Ercegovac
1549;Mark Lin
1550;Mybrid Spalding
1551;Michael Stonebraker
1555;Patti Koenig
1558;Karrie Karahalios
1561;Tshyoshi Mizoguchi
1562;M. Hirotsugu Motoyama
1564;J.W. Bray
1569;M.S. King
1574;Takehiko Nagakura
1576;George M. Nadeau
1577;Ian Quinn
1579;Jay N. Cohn
1583;Ellen Eisenberg
1587;S.Anthony Wolfe
1590;Robert Bruce MacIntosh
1594;Lewis A. Caputa
1598;Sarah M Wartman
1601;Marisa Campbell
1604;Andrew Glassner's
1608;" IEEE Expert staff"
1612;Olav W. Bertelsen
1613;Susanne Bødker
1615;Christiane Floyd
1617;Detlef Sieling
1621;Ton Kloks
1622;Dieter Kratsch
1623;Haiko Müller
1627;Thomas Ehrhard
1631;Wolfgang Bibel
1635;Katagami, D.
1636;Kotake, Masato
1637;Nitta, K.
1641;Andrew Glassner
1644;Masum Serazi
1646;Vasily Malakhov
1647;Dongmei Ren
1648;Amal Perera
1649;Imad Rahal
1650;Weihua Wu
1651;Qiang Ding
1652;Fei Pan
1653;William Perrizo
1656;Hitoshi Akayama
1660;John M. Maki
1662;John E. Wetzel
1663;Wacharin Wichiramala
1668;Atticus Wolrab
1671;Jun Oishi
1675;Stefan Lindberg
1677;Mats Liljedahl
1678;Nyssim Lefford
1680;Till Nowak
1683;Maria Wiener
1688;Leszek Plichta
1691;Make Stern
1694;Jean-François Bourrel
1699;R. Scott Grabinger
1704;Roland Womack
1706;Stephen Venning
1712;Bang-Yao Liu
1716;Paris Mavroidis
1721;Johan F. Hoorn
1726;William Loughborough
1731;Muhammad Raft
1735;Kevin Knight
1739;Tomasz Wiktor Wlodarczyk
1740;Chunming Rong
1741;Baodong Jia
1742;Laurentiu Cocanu
1743;Csongor Nyulas
1744;Mark A. Musen
1748;Cornelia Hedeler
1749;Khalid Belhajjame
1750;Norman W. Paton
1751;Alessandro Campi
1753;Alvaro A. A. Fernandes
1754;Suzanne M. Embury
1758;Malcolm Attard
1759;Matthew Montebello
1763;Prakash Panangaden
1767;Felix Naumann
1771;Michael Klim
1772;Stanley Moore
1773;Dominic Pallotta
1774;Michael Sauls
1775;" Ringling College of Art and Design"
1777;Franccois Bry
1779;Tim Furche
1780;Dan Olteanu
1783;Kisoo Ham
1784;Sungbin Cho
1786;R. Burnett
1789;Isabel Beichl
1794;O. Univ
1796;Peter Lugner
1800;Gabi Ambach
1807;Erstgutachten von Thomas Ertl
1808;Eduardo Tejada
1809;Simon Stegmaier
1810;Joachim Diepstraten
1813;Not Available Not Available
1816;Melanie Herschel
1820;C. H. Lochmuller
1824;Linda Kwai-Lin Lau
1826;Rajeev Jain
1827;Henry Samueli
1828;Henry T. Nicholas III
1829;Etan G. Cohen
1833;Heinz Mistelbauer
1837;Yannis E. Ioannidis
1839;Diego Milano
1841;Hans-Jörg Schek
1843;Heiko Schuldt
1847;Akpene Esi Banini
1856;Martin Rost
1858;Dirk Fox
1861;Johann Bizer
1865;Britta Alexandra Mester
1868;Michael Ronellenfitsch
1870;Dirk Fox
1872;Ihr Grüßen
1875;Demuth, H.
1877;Finnigan, R.
1881;Frederick Richter
1884;Robin Baumgarten
1890;Lucrèce Andreae
1891;Julien Chheng
1892;Tracy Nowocien
1893;Rémy Schaepman
1896;Jürgen Schürmann
1899;Grant Ramsey
1902;Frank Puppe
1905;Manfred Kerber
1906;Christoph Weidenbach
1909;John D. McGregor
1915;Roy H. Campbell
1917;Christof Klausecker
1918;Dieter Kranzlmüller
1923;Christoph von Praun
1931;Yayoi Yokoyama
1939;Klaus-cl. Becker
1940;Albrecht Beutelspacher
1943;Klaus Laubenthal
1945;Katja Kötterheinrich
1946;Marianne Pohl
1950;R. Eugene Ramsay
1956;John Mcgregor
1961;David A. Shirley
1963;J.M. Lambert
1967;H. Ratajczak
1968;H. Weingärtner
1969;A.J. Barnes
1974;Leonie Schäfer
1976;Uta Pankoke-Babatz
1977;Wolfgang Prinz
1978;A. Fatah gen. Schieck
1980;Amanda Oldroyd
1987;Andreas Mann
1988;Otto Spaniol
1992;Thomas Vollmann
1994;Mark Brazas
1998;Teodor Stepien
2006;Theo Ungerer
2009;John Nerbonne
2010;William A. Kretzschmar Jr.
2014;Nicolas Bissantz
2019;David Tomlinson
2023;Sidney A. Simon
2024;Robert S. Balaban
2027;Stefan M. Lang
2028;Peter C. Lockemann
2031;Klaus R. Dittrich
2035;Joachim W. Schmidt
2039;Michael Benedikt
2040;Pierre Senellart
2044;Lance Fortnow
2047;Johannes Busse
2050;Rolf Socher-Ambrosius
2053;R. Inder
2058;Friedrich Gebhardt
2061;Gail Currey
2063;Justin Booth-Clibborn
2065;Vasiliy Malakhov
2070;George J.F. Legge
2074;Mark Blacksell
2076;F.E. Ian
2078;Galina V. Sdasyuk
2082;C.L Dolph
2083;J.S Howland
2087;Crcile Pads
2091;Austin J. Barnes
2092;Bernward Engelen
2093;Henryk Ratajczak
2097;Dean R. Freitag
2102;Heinz Holling
2104;Rainer Schwabe
2109;D.R. Bundle
2110;B. Perry
2113;Kim Gerdes
2118;Judd Marmor
2121;Gidon Almogy
2124;Burton S. Wasserman
2129;Gerhard Weikum
2133;Kai Jakobs
2135;Cary Roberts
2139;Pascal Heus
2143;Peter F. Patel-Schneider
2145;Gerhard Goos
2150;Roy Szweda
2157;Webster Wellness Professionals
2159;W. Lockwood
2163;John Heil
2167;J. R. Cannon
2168;C. Denson Hill
2172;Helmut Jürgensen
2176;A. J. Broscoe
2179;Goldsborough
2184;Dennis C. Hammond
2188;F. J. Pallarés
2193;Ferenc Forgó
2194;László Á. Kóczy
2198;Deborah S. Garson
2202;Francisco V. Cipolla Ficarra
2204;Punyashloke Mishra
2206;Kim Nguyen
2207;Blair Nonnecke
2209;Jenny Preece
2210;Gary Marchionini
2215;Virginia C. Santos
2217;Christine Z. Chang
2219;Robert Ziche
2221;Fabian Tejada
2223;Rebecca Allen
2226;Bruno Follet
2228;Yoichiro Kawaguchi
2229;Steven Churchill
2230;Tangerine Dream
2235;Craig S. Kaplan
2237;David H. Salesin
2245;Lavik Erin B
2246;Smith Bradley D
2247;Zheng Gang
2248;Rotello Vincent
2258;Stanley D. Brunn
2259;Thomas R. Leinbach
2262;Essen-Gustavsson Birgitta
2264;Raven Peter B
2265;Richter Erik A
2267;Secher Niels H
2269;Mitchell Jere H
2271;van Hall Gerrit
2275;David Griffiths
2277;John Davies
2282;E. Marx
2283;B. A. Brown
2284;Eugene W. Whitman
2285;W. B. Ward
2286;H. A. Reiley
2287;Marx Koehnke
2288;J. C. Campbell
2289;C. A. Henderson
2290;K. W. Lauer
2291;John Noonan
2295;Bobby Schnabel
2296;Section Editor
2299;Santa-Olalla J
2300;Covarrubias L
2303;G. Vitali
2304;Maria A. Berchiesi
2308;Stöckle U
2309;Wirtz D C
2313;" IEEE Internet Computing staff"
2317;Gerhard Heyer
2318;Christian Wolff
2322;Peter Raulefs
2324;Philip Rubin
2329;George A. Bekey
2333;J. Presper Eckert
2336;Wolfgang Schleich
2340;Christos Tryfonas
2341;James Schumacher
2345;Joe Armstrong
2349;Donald D Newmeyer
2350;Shelagh Ferguson-Miller
2353;Anthony Ralston
2354;Ben Shneiderman
2358;" Open Systems & Information Dynamics staff"
2362;Jussi Ängeslevä
2364;Carson Reynolds
2366;Sile O'Modhrain
2369;Salil Apte
2371;Matt Loper
2372;Pat McNally
2375;Pew-Thian Yap
2377;Raveendran Paramesran
2381;Steven Pemberton
2384;Yurong Chen
2386;Edward O. Kenaschuk
2387;J. Doug Procunier
2392;Richard Mateosian
2396;Jalal K. Ghali
2397;Barry M. Massie
2398;Douglas L. Mann
2400;Michael W. Rich
2403;Justin Henton
2406;Shunmin Wang
2408;Shu-Cherng Fang
2410;Henry L. Nuttle
2413;Yiu-ming Cheung
2414;Yuping Wang
2415;Xinge You
2416;Patrick Shen-Pei Wang
2420;Leslie G. Valiant
2426;Thorsten Fleisch
2429;Tony Radevski
2433;Shinji Sasada
2436;Kooj Chuhan
2441;Tomas Salles
2444;David S. Weld
2448;R. Dierkesmann
2449;W.E. Fleig
2450;H. Heidrich
2451;H. Heimpel
2452;W.V. Kern
2453;J. Meyer
2454;O.-A. Müller
2455;Ch. Specker
2456;C. Wanner
2460;Guy Olivier
2461;Francis Labrique
2462;Yves Perriard
