ID;Name
46575;University of Southwestern Louisiana
46578;University of Colorado
46605;University of Reading
46611;Université de Liège
46618;University of Aberdeen
46622;University of Queensland
46990;University of Zurich
47051;University of Alabama at Birmingham
47284;University of Wyoming
47750;University of Southern California and Jet Propulsion Laboratory
48014;University Heights New Jersey Institute of Technology 4104 GITC Building 07102 Newark NJ USA
48188;University of Lisbon
48208;University of California at San Diego
48372;Universitè de Liège
49387;Univ. of Illinois at Urbana-Champaign
49563;University of New Mexico in Albuquerque
49594;Unity Technologies
49715;University of California 
49729;Univ. of Sussex
49907;Univ. of Amsterdam
50353;University of Illinois at Urbana Champaign
50366;University of Applied Sciences Northwestern Switzerland
50883;Univ. of Maryland
50936;University of Westminster
51181;Univ. of Minnesota
51206;Univ. of Rochester
51383;University of Texas at San Antonio
51673;University of California 95 064 Santa Cruz CA USA
51854;Univ. of Nijmegen
52055;University of California at Berkeley
52803;Univ. of Maryland Baltimore County
52847;Universität Konstanz
52876;Univ. of Ulster
53541;University of Leeds
53698;University of Groningen and CWI Amsterdam
54167;University of Göteborg
54409;University of Oxford
54436;University of Manitoba
54503;University of Washington Seattle USA
54509;Université Henri Poincaré
54830;University of Namur
54907;Université de Provence Centre de Recherche en Sciences de la Musique 29 Avenue R. Schuman 13621 Aix-en-Provence Cedex 1 France
55107;University of Stavanger
55132;University of Ljubljana
55526;University of Essex
55580;Univ. de Sao Paulo
55794;University of Amsterdam The Netherlands The Netherlands
55864;University of Lugano
55994;University of Brighton
56224;Univ. of New Mexico
56290;Univ. of Wisconsin
56411;University of Bucharest
56536;Universität Kassel Chair for Information Systems Research Center for IS Design (ITeG) Nora-Platiel-Straße 4 34127 Kassel Germany
56573;Universität Erlangen-Nürnberg
56655;Univ. of Connecticut
56677;Univ. of Illinois
56696;Univ. of New Hampshire
56698;Univ. of Rome “La Sapienza”
56955;University of Nottingham
57177;University of Colorado 169 Hellems 80309 Boulder CO USA
57182;Universität Konstanz Lehrstuhl Spohn FB Philosophie PF 5560 D22 D-78434 Konstanz Germany PF 5560 D22 D-78434 Konstanz Germany
57292;University of Novi Sad
57301;University of Hawaii
57305;University of Twente
57375;University of Connecticut
57896;Univ Texas San Antonio
57901;Univ South Australia
58116;University of South Carolina
58176;Univ. of Glasgow
58479;University of Illinois at Springfield
58495;Université Paris Diderot – Paris 7 & CNRS UMR LIAFA 7089 France
58497;Université Paris Est – Marne-la-Valle & CNRS UMR LIGM 8049 France
58533;University Pierre et Marie Curie
58639;University of Oviedo
58744;University of Washington and Electronic Arts
58937;University of Twente Dept. INF PO Box 217 NL 7500 AE Enschede The Netherlands
59920;University of Rome “La Sapienza” Department of Computer and Systems Science Via Salaria 113 00198 Rome Italy
60075;University of Colorado Boulder CO USA Boulder CO USA
60119;University of Mons-Hainaut
60326;University of Tasmania
60458;Univ. of Reading
60827;University of Texas at Dallas
60839;Università di Milan-Bicocca
61283;Univ. of St. Andrews
61287;Univ. of Leicester
61449;Univ Arizona
61455;Univ Florida
61691;University of Maryland Institute for Advanced Computer Studies
61994;Univ. of Southampton
61997;Univ. of Auckland
62194;University of Texas at Arlington
62389;Universität Bonn Argelander-Institut für Astronomie Auf dem Hügel 71 53121 Bonn Deutschland
